time,Velocity
2.578,4.242640687119285
2.62,4.242640687119285
2.665,4.242640687119285
2.71,4.242640687119285
2.757,4.242640687119285
2.788,4.242640687119285
2.815,4.242640687119285
2.854,4.242640687119285
2.881,4.242640687119285
2.91,4.242640687119285
2.943,4.242640687119285
2.973,4.242640687119285
3.006,4.242640687119285
3.039,4.242640687119285
3.075,4.242640687119285
3.115,4.242640687119285
3.161,4.242640687119285
3.207,4.242640687119285
3.241,4.242640687119285
3.277,4.242640687119285
3.313,4.242640687119285
3.347,4.242640687119285
3.382,4.242640687119285
3.42,4.242640687119285
3.453,4.242640687119285
3.487,4.242640687119285
3.519,4.242640687119285
3.551,4.242640687119285
3.587,4.242640687119285
3.619,4.242640687119285
3.653,4.242640687119285
3.687,4.242640687119285
3.73,4.242640687119285
3.775,4.242640687119285
3.82,4.242640687119285
3.857,4.242640687119285
3.889,4.242640687119285
3.919,4.242640687119285
3.952,4.242640687119285
3.981,4.242640687119285
4.014,4.242640687119285
4.048,4.242640687119285
4.085,4.242640687119285
4.118,4.242640687119285
4.151,4.242640687119285
4.185,4.242640687119285
4.218,4.242640687119285
4.251,4.242640687119285
4.285,4.242640687119285
4.319,4.242640687119285
4.352,4.242640687119285
4.385,4.242640687119285
4.418,4.242640687119285
4.453,4.242640687119285
4.487,4.242640687119285
4.519,4.242640687119285
4.554,4.242640687119285
4.588,4.242640687119285
4.62,4.242640687119285
4.655,4.242640687119285
4.698,4.242640687119285
4.74,4.242640687119285
4.783,4.242640687119285
4.827,4.242640687119285
4.874,4.242640687119285
4.921,4.242640687119285
4.951,4.242640687119285
4.985,4.242640687119285
5.017,4.242640687119285
5.052,4.242640687119285
5.086,4.242640687119285
5.12,4.242640687119285
5.164,4.242640687119285
5.205,4.242640687119285
5.247,4.242640687119285
5.29,4.242640687119285
5.332,4.242640687119285
5.377,4.242640687119285
5.418,4.242640687119285
5.45,4.242640687119285
5.485,4.242640687119285
5.519,4.242640687119285
5.554,4.242640687119285
5.588,4.242640687119285
5.629,4.242640687119285
5.671,4.242640687119285
5.718,4.242640687119285
5.759,4.242640687119285
5.801,4.242640687119285
5.844,4.242640687119285
5.888,4.242640687119285
5.933,4.242640687119285
5.971,4.242640687119285
6.005,4.242640687119285
6.039,4.242640687119285
6.074,4.242640687119285
6.109,4.242640687119285
6.155,4.242640687119285
6.195,4.242640687119285
6.236,4.242640687119285
6.28,4.242640687119285
6.322,4.242640687119285
6.366,4.242640687119285
6.408,4.242640687119285
6.451,4.242640687119285
6.495,4.242640687119285
6.541,4.242640687119285
6.573,4.242640687119285
6.606,4.242640687119285
6.641,4.242640687119285
6.678,4.242640687119285
6.711,4.242640687119285
6.741,4.242640687119285
6.784,4.242640687119285
6.826,4.242640687119285
6.871,4.242640687119285
6.913,4.242640687119285
6.961,4.242640687119285
7.007,4.242640687119285
7.05,4.242640687119285
7.082,4.242640687119285
7.117,4.242640687119285
7.147,4.242640687119285
7.179,4.242640687119285
7.212,4.242640687119285
7.242,4.242640687119285
7.272,4.242640687119285
7.301,4.242640687119285
7.332,4.242640687119285
7.359,4.242640687119285
7.388,4.242640687119285
7.427,4.242640687119285
7.46,4.242640687119285
7.493,4.242640687119285
7.525,4.242640687119285
7.56,4.242640687119285
7.593,4.242640687119285
7.631,4.242640687119285
7.665,4.242640687119285
